num_threads,max_payload_size,records_number,num_nodes,avg_time(ms),std_time(ms),avg_time(ms)_seq,std_time(ms)_seq,speedup,efficiency
1,5120,2097152,2,228.96275,113.45275147941544,369.71525,194.9099924552784,1.6147397338650065,0.8073698669325032
1,5120,2097152,4,134.7,27.72952960293412,369.71525,194.9099924552784,2.744730883444692,0.686182720861173
1,5120,2097152,8,75.89495,5.307780386376208,369.71525,194.9099924552784,4.8714077814136525,0.6089259726767066
1,1048576,10240,2,219.18045,122.5680020299344,401.28375,179.59687453177838,1.8308373306104626,0.9154186653052313
1,1048576,10240,4,119.87715,45.83852390980756,401.28375,179.59687453177838,3.3474582103428383,0.8368645525857096
1,1048576,10240,8,80.215775,5.416375908529616,401.28375,179.59687453177838,5.002554048751633,0.6253192560939541
2,5120,2097152,2,326.37625,119.0718459065086,369.71525,194.9099924552784,1.1327884611701984,0.2831971152925496
2,5120,2097152,4,150.316425,54.50735619641169,369.71525,194.9099924552784,2.459579849640517,0.3074474812050646
2,5120,2097152,8,82.08142500000001,5.919956445433813,369.71525,194.9099924552784,4.504249895758997,0.28151561848493734
2,1048576,10240,2,206.1355,130.31997373771986,401.28375,179.59687453177838,1.9466988946590955,0.4866747236647739
2,1048576,10240,4,81.91465,10.678128208788904,401.28375,179.59687453177838,4.898803205531611,0.6123504006914514
2,1048576,10240,8,75.77687499999999,12.661360738976676,401.28375,179.59687453177838,5.2955964468051775,0.3309747779253236
4,5120,2097152,2,272.35,85.83614268671055,369.71525,194.9099924552784,1.3575004589682393,0.16968755737102992
4,5120,2097152,4,181.85775,62.94100488221756,369.71525,194.9099924552784,2.0329914452367306,0.12706196532729566
4,5120,2097152,8,83.544675,3.715906193985524,369.71525,194.9099924552784,4.425359844897356,0.13829249515304237
4,1048576,10240,2,265.6072,151.90121034022957,401.28375,179.59687453177838,1.5108165365999116,0.18885206707498894
4,1048576,10240,4,100.21135,35.645634059867696,401.28375,179.59687453177838,4.004374255012032,0.250273390938252
4,1048576,10240,8,79.06265,11.765079472886413,401.28375,179.59687453177838,5.075516062262016,0.158609876945688
8,5120,2097152,2,260.10025,81.65031209728065,369.71525,194.9099924552784,1.421433658752731,0.08883960367204569
8,5120,2097152,4,184.7165,42.49481658194719,369.71525,194.9099924552784,2.0015280172588805,0.06254775053934002
8,5120,2097152,8,80.24982499999999,15.864371358986569,369.71525,194.9099924552784,4.607053660241628,0.07198521344127544
8,1048576,10240,2,159.97095000000002,194.7759900844472,401.28375,179.59687453177838,2.5084788831972302,0.1567799301998269
8,1048576,10240,4,118.342725,37.80408301893461,401.28375,179.59687453177838,3.3908611619345423,0.10596441131045445
8,1048576,10240,8,77.978275,6.589306771517522,401.28375,179.59687453177838,5.146096781443293,0.08040776221005146
16,5120,2097152,2,163.10075,61.501603607141824,369.71525,194.9099924552784,2.2667906186820113,0.07083720683381285
16,5120,2097152,4,158.798225,86.53688620506962,369.71525,194.9099924552784,2.328207698795122,0.03637824529367378
16,5120,2097152,8,78.281675,18.18128666850892,369.71525,194.9099924552784,4.7228837400323895,0.03689752921900304
16,1048576,10240,2,255.16975,152.3264978401657,401.28375,179.59687453177838,1.5726148965541566,0.049144215517317395
16,1048576,10240,4,88.782325,21.58770074979038,401.28375,179.59687453177838,4.5198607943641935,0.07062282491194052
16,1048576,10240,8,78.03277499999999,1.1307825384072148,401.28375,179.59687453177838,5.142502621494623,0.040175801730426744
32,5120,2097152,2,245.45,123.46219726701774,369.71525,194.9099924552784,1.5062752088001632,0.02353555013750255
32,5120,2097152,4,148.51059999999998,64.0691540715187,369.71525,194.9099924552784,2.489487282389271,0.01944911939366618
32,5120,2097152,8,81.2613,4.7616844435556684,369.71525,194.9099924552784,4.549708778963664,0.017772299917826813
32,1048576,10240,2,246.832875,195.42443859386972,401.28375,179.59687453177838,1.6257305676968679,0.02540204012026356
32,1048576,10240,4,93.1246,16.83954266758255,401.28375,179.59687453177838,4.309105757232783,0.033664888728381116
32,1048576,10240,8,86.839,6.436458739607261,401.28375,179.59687453177838,4.6210084178767605,0.018050814132331096
